companyName	projectTitle	projectDescription	emissionsOffset	creditsIssued	financialInfo	projectDocumentation
Jazzy	Drainage of R Acromioclav Jt, Perc Endo Approach, Diagn	Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.	515726	0	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	topsy.com
Riffwire	Revision of Other Device in Abdominal Wall, Extern Approach	Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.	142986	0	Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.	clickbank.net
Jamia	Excision of Left Spermatic Cord, Perc Endo Approach, Diagn	Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.	317650	0	Phasellus in felis. Donec semper sapien a libero. Nam dui.	yahoo.com
Feednation	Insertion of Infusion Dev into R Basilic Vein, Open Approach	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	360727	0	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	berkeley.edu
Demivee	Destruction of Basal Ganglia, Perc Endo Approach	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	66903	0	Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.	wikispaces.com
Kwinu	Revision of Other Device in Upper Back, Perc Approach	Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.	843534	0	In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.	smh.com.au
Buzzshare	Drainage of L Diaphragm with Drain Dev, Perc Endo Approach	Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.	903948	0	In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.	phoca.cz
Yozio	Dilate R Renal Art, Bifurc, w 3 Intralum Dev, Open	Sed ante. Vivamus tortor. Duis mattis egestas metus.	372996	0	Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.	ucoz.ru
Yodo	Repair Mouth/Throat in POC with Oth Dev, Perc Endo Approach	In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.	264596	0	Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.	flickr.com
Browsezoom	Drain of L Submaxillary Gland with Drain Dev, Open Approach	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	982449	0	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.	washington.edu
Snaptags	Removal of Drainage Device from Lower Back, Perc Approach	Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.	166145	0	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	tinypic.com
Camimbo	Fragmentation in Ampulla of Vater, Percutaneous Approach	Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.	594668	0	Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.	quantcast.com
Mydeo	Replacement of L Kidney Pelvis with Synth Sub, Via Opening	Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.	385294	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	moonfruit.com
Ozu	Extirpation of Matter from R Neck Muscle, Perc Endo Approach	Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.	443679	0	In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.	photobucket.com
Digitube	Bypass R Vas Deferens to L Vas Def w Nonaut Sub, Open	Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.	372880	0	Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.	walmart.com
Youtags	Insertion of Spacer into Left Elbow Joint, Open Approach	In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.	744770	0	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.	kickstarter.com
Kwimbee	Release Vestibular Gland, Open Approach	Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.	840909	0	Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.	mac.com
Buzzdog	Removal of Drain Dev from Diaphragm, Perc Endo Approach	Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.	228025	0	Fusce consequat. Nulla nisl. Nunc nisl.	princeton.edu
Dynabox	Magnetic Resonance Imaging (MRI) of Right Kidney	Fusce consequat. Nulla nisl. Nunc nisl.	56975	0	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	angelfire.com
Yambee	Replace R Hip Jt w Metal on Poly, Uncement, Open	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	68335	0	Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.	unicef.org
Youopia	Drainage of Left Hepatic Duct, Open Approach, Diagnostic	Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.	980269	0	Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.	printfriendly.com
Kwideo	Supplement Left Upper Leg with Autol Sub, Perc Endo Approach	Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.	151621	0	Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.	indiegogo.com
Linkbridge	Supplement L Subclav Vein with Autol Sub, Open Approach	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	527303	0	In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.	imgur.com
Aibox	Supplement L Ant Tib Art with Nonaut Sub, Open Approach	Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.	961196	0	Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.	woothemes.com
Skinix	Replacement of Left Tibia with Autol Sub, Open Approach	Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.	634916	0	Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.	yahoo.com
Quatz	Division of Back Subcu/Fascia, Perc Approach	Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.	901238	0	In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.	usgs.gov
Tavu	Destruction of Right Lower Lobe Bronchus, Perc Approach	In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.	618721	0	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	gmpg.org
Abatz	Insertion of Infusion Device into L Up Extrem, Open Approach	Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.	361546	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	biblegateway.com
Browsebug	Drainage of Urethra with Drainage Device, Via Opening	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.	298528	0	Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.	cargocollective.com
Kimia	Resection of Scrotum, Percutaneous Endoscopic Approach	Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.	658687	0	Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.	prlog.org
Browseblab	Drainage of L Up Leg Skin with Drain Dev, Extern Approach	Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.	621434	0	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	epa.gov
Ooba	Alteration of Upper Jaw with Synth Sub, Perc Endo Approach	In congue. Etiam justo. Etiam pretium iaculis justo.	397376	0	Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.	google.com.br
Zooveo	Replacement of R Elbow Jt with Nonaut Sub, Open Approach	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	263276	0	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	artisteer.com
Bubblemix	MRI of Bi Low Extrem Vein using Oth Contrast	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	692000	0	Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.	surveymonkey.com
Myworks	Extracorporeal Therapies, Physiological Systems, Hypothermia	Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.	41123	0	Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.	mozilla.org
Twitterworks	Insert of Radioact Elem into R Shoulder, Perc Endo Approach	Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.	358936	0	Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.	bizjournals.com
Twinder	Dilation of R Popl Art with Drug-elut Intra, Open Approach	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	534710	0	Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.	walmart.com
Jaxnation	Excision of Left Lower Lobe Bronchus, Open Approach, Diagn	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	193566	0	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	sun.com
Brightdog	Revise Infusion Dev in R Toe Phalanx Jt, Perc Endo	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	202780	0	Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.	globo.com
Tazz	Excision of Left Upper Arm Muscle, Open Approach, Diagnostic	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	814524	0	In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.	elegantthemes.com
Einti	Removal of Ext Fix from L Finger Phalanx, Open Approach	Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.	470529	0	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	google.nl
Ailane	Revision of Infusion Device in Brain, Open Approach	Fusce consequat. Nulla nisl. Nunc nisl.	205786	0	Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.	eepurl.com
Realbridge	Supplement R Radial Art with Synth Sub, Perc Endo Approach	Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.	194467	0	Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.	ucla.edu
Leenti	Revise of Autol Sub in Vagina & Cul-de-sac, Extern Approach	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	206550	0	Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.	washington.edu
Rhyzio	Bypass 2 Cor Art from Cor Art with Autol Art, Open Approach	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	809484	0	Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.	studiopress.com
Tagchat	Drainage of Hypoglossal Nerve, Perc Endo Approach	Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.	174335	0	Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.	si.edu
BlogXS	Dilate of 3 Cor Art, Bifurc, with 3 Drug-elut, Open Approach	Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.	201814	0	In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.	soup.io
Oodoo	Supplement L Metacarpophal Jt w Nonaut Sub, Perc Endo	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	644042	0	In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.	reverbnation.com
Zoombeat	Replace of L Parietal Bone with Nonaut Sub, Open Approach	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	804520	0	Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.	zimbio.com
Jazzy	Removal of Synthetic Substitute from Lum Disc, Perc Approach	Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.	407103	0	Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.	zimbio.com
Mycat	Excision of Left Trunk Muscle, Open Approach, Diagnostic	Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.	81652	0	Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.	usgs.gov
Skajo	Fluoroscopy of Corpora Cavernosa using High Osmolar Contrast	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	195595	0	Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.	pagesperso-orange.fr
Livetube	Drainage of Left External Jugular Vein, Open Approach	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	103367	0	In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.	technorati.com
Bluejam	Removal of Bandage on Right Hand	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	688161	0	Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.	posterous.com
Katz	Bypass R Com Iliac Art to B Femor A w Synth Sub, Perc Endo	Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.	39479	0	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	yellowpages.com
Yakidoo	Extirpate matter from R Int Carotid, Bifurc, Perc Endo	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	545215	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	ox.ac.uk
Janyx	Bypass Abd Aorta to Abd Aorta with Synth Sub, Open Approach	Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.	506165	0	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	google.cn
Muxo	Removal of Synth Sub from L Up Extrem, Perc Endo Approach	Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.	30041	0	Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.	omniture.com
Wikivu	Transfuse Nonaut Plasma Cryoprecip in Central Art, Open	Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.	269883	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	sitemeter.com
Bluejam	Revision of Infusion Device in Thymus, External Approach	Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.	543973	0	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	biblegateway.com
Izio	Destruction of Vagina, Percutaneous Approach	Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.	468593	0	Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.	elpais.com
Miboo	Supplement Middle Esophagus with Autol Sub, Via Opening	In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.	472254	0	Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.	hud.gov
Talane	Supplement L Knee Bursa/Lig w Synth Sub, Perc Endo	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	799181	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	ucoz.ru
Wikizz	Occlusion of Duodenum, Percutaneous Approach	Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.	969141	0	Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.	myspace.com
Dynazzy	Revision of Drainage Device in Cerv Disc, Open Approach	Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.	233130	0	Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.	wiley.com
Zazio	Revision of Drainage Device in Ureter, Endo	Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.	336341	0	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	exblog.jp
Wikizz	Voice Prosthetic Assessment using Computer	Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.	696171	0	Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.	patch.com
Gigabox	Revision of Drain Dev in Spinal Cord, Perc Endo Approach	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	367006	0	Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.	google.com.br
Photospace	Release Right Hip Joint, External Approach	In congue. Etiam justo. Etiam pretium iaculis justo.	476297	0	Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.	vimeo.com
Youopia	Drainage of Left Lacrimal Duct, Percutaneous Approach	Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.	757447	0	Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.	hao123.com
Rhynoodle	Restrict R Ext Jugular Vein w Intralum Dev, Open	Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.	598500	0	Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.	umn.edu
Babbleset	Reposition Right Toe Phalangeal Joint, External Approach	Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.	193336	0	Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.	github.io
Edgetag	Drainage of Left Hepatic Duct with Drain Dev, Open Approach	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	223026	0	Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.	rakuten.co.jp
Feedspan	Supplement C-thor Jt with Autol Sub, Open Approach	Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.	772293	0	Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.	google.ru
Gabtype	Excision of Chest Wall, External Approach, Diagnostic	Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.	501155	0	Phasellus in felis. Donec semper sapien a libero. Nam dui.	europa.eu
Skyble	Drainage of R Elbow Jt with Drain Dev, Perc Endo Approach	In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.	406626	0	Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.	ucoz.ru
Dazzlesphere	Beam Radiation of Hemibody using Neutron Capture	Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.	942600	0	In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.	mysql.com
Plajo	Release Middle Esophagus, Percutaneous Endoscopic Approach	Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.	633110	0	Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.	reference.com
Brightdog	Revision of Spacer in L Sternoclav Jt, Open Approach	Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.	983476	0	Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.	opera.com
Photobug	Destruction of Left Femoral Artery, Percutaneous Approach	Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.	857695	0	Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.	mapquest.com
Flipbug	Reposition L Humeral Head with Hybrid Ext Fix, Open Approach	In congue. Etiam justo. Etiam pretium iaculis justo.	308817	0	Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.	edublogs.org
